LON,LAT,EDO,CLAVE,ESTACION,may-16
-102.979444,25.7575,COAH,SPECL,"San Pedro, Coah.",30.6
-101.016667,25.376389,COAH,STOCL,"Saltillo, Coah.",37.9
-103.45,25.541667,COAH,TORCL,"Observatorio de Torreón, Coah.",19.21
-100.616111,27.515,COAH,VCRCL,"Venustiano Carranza, Coah.",110.54
-103.613333,19.249722,COL,BVSCM,"Buenavista, Col.",0
-103.726389,18.758611,COL,CDOCM,"Cerro de Ortega, Col.",0
-103.702778,19.295,COL,CHNCM,"El Chanal, Col.",6.1
-103.626111,18.826389,COL,CLLCM,"Callejones, Col.",0
-103.720833,19.218333,COL,CMDCM,"Observatorio de Colima, Col.",0
-103.757222,19.3175,COL,CMLCM,"Comala, Col.",10.5
-103.809167,19.204722,COL,CQMCM,"Coquimatlán, Col.",2.1
-103.605,19.322222,COL,CUACM,"Cuauhtémoc, Col.",3.3
-103.884167,19.112222,COL,DJLCM,"Presa derivadora Gregorio T. Q. Jala, Col.",0
-103.868056,19.171667,COL,LAECM,"La Esperanza, Col.",1
-103.773889,18.803056,COL,LDACM,"Laguna de Amela, Col.",0
-104.318611,19.044167,COL,MNZCM,"Observatorio de Manzanillo, Col.",1.9
-103.8125,19.3275,COL,PNTCM,"Presa derivadora Peñitas, Col.",5.3
-104.1,18.936111,COL,RDRCM,"Radar, Col.",1.5
-103.700833,19.408333,COL,SCHCM,"Suchitlán, Col.",4
-103.855833,18.908056,COL,TCMCM,"Tecomán, Col.",0
-103.663333,19.2775,COL,TRPCM,"Trapiche, Col.",2
-99.210278,19.218611,DF,AJSDF,"Ajusco, Cd. de Méx.",32.6
-99.171667,19.453333,DF,CBIDF,"Escuela Nacional de Ciencias Biológicas IPN, Cd. de Méx. SMN*",18.99
-99.180556,19.346667,DF,CCUDF,"Universidad, Cd. de Méx.",54.3
-98.999444,19.357222,DF,CDMDF,"Cárcel de Mujeres, Cd. de Méx.",84.5
-99.1125,19.407778,DF,CDVDF,"Ciudad Deportiva, Cd. de Méx.",84.3
-99.1375,19.516667,DF,CEADF,"Campamento Amealco, Cd. de Méx.",108.7
-99.208333,19.155556,DF,CFSDF,"Caseta Forestal, Cd. de Méx.",88.94
-99.1375,19.469722,DF,CMTDF,"Avenida Cien Metros, Cd. de Méx.",32.9
-99.183333,19.486389,DF,CMYDF,"Campamento Mecoaya, Cd. de Méx.",90.4
-99.196389,19.403611,DF,CTMDF,"Observatorio de Tacubaya, Cd. de Méx.",53.8
