LON,LAT,EDO,CLAVE,ESTACION,oct-13
-102.265278,19.973611,MICH,CHAMC,"Chaparaco, Mich.",15.22
-100.55,19.7,MICH,CHIMC,"Ciudad Hidalgo, Mich.",90
-100.9,18.5,MICH,CMNMC,"Caimanera, Mich.",66.2
-101.259167,19.629722,MICH,COIMC,"Cointzio, Mich.",49.51
-101.861667,20.207222,MICH,CORMC,"Corrales, Mich.",30.73
-102.586389,20.253889,MICH,CUUMC,"Cumuato, Mich.",41.3
-100.421111,19.387778,MICH,DBOMC,"El Bosque, Mich.",57.63
-100.45,19.966667,MICH,EGIMC,"El Gigante, Mich.",73
-102.541389,19.979167,MICH,GUAMC,"Guaracha, Mich.",32.2
-101.883333,18.266667,MICH,INFMC,"Infiernillo, Mich.",10.9
-102.6,19.958333,MICH,JARMC,"Jaripo, Mich.",90.6
-100.406389,19.838056,MICH,LDFMC,"Laguna del Fresno, Mich.",74.8
-102.865556,19.210833,MICH,LOLMC,"Los Olivos, Mich.",90.54
-102.004444,20.354444,MICH,LPDMC,"La Piedad, Mich.",54.81
-102.133333,18.848611,MICH,LPNMC,"Los Panches, Mich.",115
-102.2,18.8,MICH,LPSMC,"La Pastoría, Mich.",87.6
-101.2,18.8,MICH,LPZMC,"Los Pinzanes, Mich.",4.44
-101.1,19.7,MICH,MCEMC,"Morelia Centro, Mich.",40.53
-100.873611,19.829167,MICH,MLPMC,"Malpaís, Mich.",48
-101.2,19.7,MICH,MNOMC,"Observatorio de Morelia Norte, Mich.",59.91
-101.724444,20.127222,MICH,MOCMC,"Melchor Ocampo, Mich.",62.02
-101.176111,19.688611,MICH,MORMC,"Morelia DDR 020, Mich.",44.01
-100.439167,19.890833,MICH,MRVMC,"Maravatío, Mich.",65.5
-102.325,19.966667,MICH,ORAMC,"Orandino, Mich.",10.6
-102.058611,18.931111,MICH,PASTORIACFE,"Pastoría, Mich. CFE*",92.5
-101.044167,19.826944,MICH,PDBMC,"Planta de bombeo, Mich.",45.7
-100.684167,19.621389,MICH,PUCMC,"Pucuato, Mich.",117
-102.136944,19.961389,MICH,PUREPETIRO,"Presa Urepetiro, Mich. SGT*",55.2
-102.716667,20.066667,MICH,SAHMC,"Sahuayo, Mich.",58.52
-102.464722,20.208333,MICH,SCRMC,"San Cristóbal, Mich.",52.5
-102.651389,19.839444,MICH,SJUMC,"San Juanico, Mich.",43
-102.4,20.1,MICH,SSIMC,"San Simón, Mich.",68.4
-100.229167,20.000278,MICH,TEPMC,"Tepuxtepec, Mich.",45.8
