LON,LAT,EDO,CLAVE,ESTACION,jun-16
-107.723611,27.033611,CHIH,BTPCH,"Batopilas, Chih.",182
-107.9,27.9,CHIH,BTVCH,"Batovira, Chih.",159
-106.953056,28.065,CHIH,BUENAVISTACH2,"Buena Vista 2, Chih. INIFAP*",95.8
-106.484722,28.802778,CHIH,C08099,"Majalca, Chih.",4
-108.092778,29.251944,CHIH,C08219,"Peñitas, Chih.",20
-107.6975,28.759722,CHIH,C08243,"Tejolocachi, Chih.",13.1
-105.963611,28.773333,CHIH,C08270,"La Mesa, Chih.",49.2
-107.930833,30.376667,CHIH,CAGCH,"Observatorio de Nuevo Casas Grandes, Chih.",41.25
-105.446944,28.210833,CHIH,CDLCH,"Ciudad Delicias, Chih.",74.77
-108.535556,27.392222,CHIH,CHICH,"Chínipas, Chih. SMN*",88.64
-106.030278,28.670556,CHIH,CHIHUAHUAob,"Observatorio de Chihuahua, Chih. SMN*",43.6
-108.544722,27.430278,CHIH,CHINIPASCFE,"Chínipas, Chih. CFE*",56.2
-106.770556,26.229444,CHIH,CHNCH,"Chinatú, Chih. SMN*",84.6
-106.400278,31.736667,CHIH,CJZCH,"Ciudad Juárez, Chih.",20
-108.541667,27.416667,CHIH,CNDCH,"Chínipas, Chih.",210.8
-105.382222,27.576389,CHIH,COLINA,"Colina, Chih. SGT*",23
-107.633333,27.75,CHIH,CRLCH,"Creel, Chih.",88.53
-106.119444,28.614722,CHIH,ERECH,"El Rejón, Chih.",80.35
-105.628889,28.166111,CHIH,FIMCH,"Las Vírgenes, Chih.",16.77
-107.072222,26.816667,CHIH,GCCCH,"Guachochi, Chih. SMN*",63.8
-108.3,29.2,CHIH,GPCCH,"Guapoca, Chih.",91.03
-107.320556,26.677222,CHIH,GRCCH,"Guerachi, Chih.",81
-107.879167,26.870833,CHIH,IGNCH,"San Ignacio, Chih.",81.31
-108.427222,30.838889,CHIH,JANOS,"Janos, Chih. SMN*",11.4
-104.912778,27.126667,CHIH,JMNCH,"Jiménez, Chih.",0.5
-105.414167,27.544722,CHIH,LBQCH,"La Boquilla, Chih.",39.52
-107.025833,29.88,CHIH,LJSCH,"Las Lajas, Chih.",8.05
-105.28,28.984444,CHIH,LLNCH,"El Granero, Chih.",15.05
-107.994167,27.858611,CHIH,MAGCH,"Maguarichi, Chih. SMN*",41.38
-104.410833,29.565,CHIH,OJNCH,"Ojinaga, Chih.",10.4
-105.254167,26.546389,CHIH,PAGCH,"Pico del Aguila, Chih.",62.04
-105.280833,28.95,CHIH,PGRANERO,"Presa el Granero, Chih. SGT*",12
-105.675556,26.917778,CHIH,PRRCH,"Observatorio de Parral, Chih.",114.36
-106.085556,28.656944,CHIH,QIJCH,"Observatorio de Chihuahua, Chih.",93.22
-106.383333,26.466667,CHIH,RVGCH,"El Vergel, Chih.",186.6
-107.491667,29.035556,CHIH,SOTOMAINEZ,"Soto Mainez, Chih. INIFAP*",19.2
-107.973333,26.9425,CHIH,TB2CH,"Tubares 2, Chih.",131.7
-107.6975,28.759722,CHIH,TEJCH,"Tejolocachi, Chih.",13.1
-107.816667,28.95,CHIH,TEMOSACHICob,"Observatorio de Temósachic, Chih. SMN*",26.2
-107.85,28.95,CHIH,TMCCH,"Observatorio de Temósachic, Chih.",40.87
-107.384167,29.5625,CHIH,TNTCH,"El Tintero, Chih.",13.04
-107.9125,27.216667,CHIH,URECH,"Urique, Chih.",123.3
-105.16,26.738611,CHIH,VICCH,"Villa Coronado, Chih.",62.05
-105.806944,27.454444,CHIH,VZRCH,"Valle de Zaragoza, Chih.",43.52
-108.166667,29.666667,CHIH,YEPCH,"Yepachic, Chih.",128
-92.804167,16.552778,CHIS,ACACP,"Acala, Chis.",189
-92.034722,16.737778,CHIS,ALTAMIRANO,"Altamirano, Chis. SGT*",145
-92.778889,16.401389,CHIS,ANGCP,"Doctor Belisario Domínguez, Chis.",385.8
-93.8975,16.241111,CHIS,AROCP,"Observatorio de Arriaga, Chis.",277.41
-92.874722,17.189444,CHIS,ARROYOGRANDE,"Arroyo Grande, Chis. SGT*",330.9
-93.427222,17.253611,CHIS,AZAPACCFE,"Aza Pac, Chis. CFE*",211.8
-92.905833,16.997222,CHIS,BOCHIL,"Bochil, Chis. SGT*",230.1
-93.026389,16.9525,CHIS,BOMBANA,"Bombana, Chis. SGT*",170.6
-91.108333,16.785833,CHIS,BONAMPAK,"Bonampak, Chis. SMN*",16.25
-93.15,16.641944,CHIS,BOQCP,"Boquerón, Chis.",140.4
-92.731389,15.365556,CHIS,CACCP,"Cacaluta, Chis.",490.24
-92.479167,16.308333,CHIS,CASCP,"Cascajal, Chis.",166.14
-92.483056,15.969167,CHIS,CATARINITAS,"Catarinitas, Chis. SGT*",240.6
-91.949722,17.85,CHIS,CATAZAJA,"Catazajá, Chis. SGT*",178.2
-93.117222,16.757778,CHIS,CENTRO2APTE,"Centro Segunda Poniente, Chis. SGT*",28.1
-91.703333,17.472222,CHIS,CHACAMAX,"Chacamax, Chis. SGT*",279.2
-91.710278,16.383056,CHIS,CHAYABE,"Finca Chayabé, Chis. SGT*",449.9
