Lon,Lat,Clave,Edo,Est,Tmin
-93.9,16.24,AROCP,CHIS,Observatorio de Arriaga Chis.,22.7
-91.52,16.81,MAZULES,CHIS,Montes Azules Chis. SMN*,12.0
-92.02,17.53,MMPQ,CHIS,Aeropuerto Internacional de Palenque Chis,19.1
-92.3,15.13,FARCP,CHIS,Finca Argovia Chis.,18.4
-93.86,16.06,PAREDONMAR,CHIS,ParedÛn Chis. SEMAR*,21.3
-93.91,16.24,CREDARRIAGA,CHIS,Cred Arriaga Chis. SMN*,21.9
-92.14,16.22,CREDCOMITAN,CHIS,Cred Comitan Chis. SMN*,11.3
-93.74,16.67,CREDCINTALAPA,CHIS,Cred Cintalapa Chis. SMN*,15.5
-90.43,16.42,ELCEDROC,CHIS,El Cedro Chis. CILA*,18.2
-90.66,16.61,ELTIGREC,CHIS,El Tigre Chis. CILA*,17.6
-92.33,15.18,FINCAHAMBURGO,CHIS,Finca Hamburgo Chis. SMN*,17.1
-93.22,15.69,PIJCP,CHIS,Pijijiapan Chis.,21.3
-103.7,27.29,SMJCL,COAH,Sierra Mojada Coah.,10.8
-101.02,25.38,STOCL,COAH,Saltillo Coah.,9.0
-103.45,25.54,TORCL,COAH,Observatorio de TorreÛn Coah.,10.8
-103.47,25.54,CYTCL,COAH,Coyote Coah.,11.8
-100.93,25.56,ARACL,COAH,Ramos Arizpe Aeropuerto Coah.,8.0
-102.98,25.76,SPECL,COAH,San Pedro Coah.,8.5
-100.62,27.52,VCRCL,COAH,Venustiano Carranza Coah.,10.1
-101.12,27.85,SBNCL,COAH,Sabinas Coah.,10.3
-100.95,29.03,SMGCL,COAH,San Miguel Coah.,10.6
-100.95,29.33,CDACL,COAH,Ciudad AcuÒa Coah.,10.3
-101.06,29.45,AMSCL,COAH,Internacional La Amistad Coah.,9.2
-103.28,25.07,LFLDR,COAH,La Flor Coah.,9.1
-101.02,25.38,SALCL,COAH,Observatorio de Saltillo Coah.,8.3
-100.95,27.52,VCARRANZA,COAH,Venustiano Carranza Coah. SMN*,11.6
-101.33,27.92,NUEVAROSITA,COAH,Nueva Rosita Coah. SMN*,8.1
-100.92,25.44,ESLCL,COAH,SecretarÌa de Agricultura Saltillo Coah.,8.8
-101.42,26.91,MCVCL,COAH,Observatorio de Monclova Coah.,12.2
-100.53,28.71,PNGCL,COAH,Observatorio de Piedras Negras Coah.,11.4
-101.12,29.15,CBRCL,COAH,Cabeceras Coah.,10.6
-100.93,25.55,MMIO,COAH,Aeropuerto Internacional de Saltillo Coah.*,9.2
-103.4,25.56,MMTC,COAH,Aeropuerto Internacional de TorreÛn Coah.*,12.5
-101.46,26.95,MMMV,COAH,Aeropuerto Internacional Venustiano Carranza Coah.*,13.9
-100.54,28.63,MMPG,COAH,Aeropuerto Internacional de Piedras Negras Coah.*,11.9
