Lon,Lat,Clave,Edo,Est,Tmin,,
-92.32,15.56,SILTEPEC,CHIS,Siltepec Chis. SGT*,19.2,,
-93.07,16.72,TXZCP,CHIS,Tuxtla GutiÈrrez Zoomat Chis.,20.3,,
-92.37,16.89,CANCUC,CHIS,Cancuc Chis. SGT*,17.5,,
-92.3,14.89,TAPACHULAob,CHIS,Observatorio de Tapachula Chis. SMN*,25.5,,
-92.15,14.7,SUCHIATE,CHIS,Suchiate Chis. SGT*,23.1,,
-92.4,14.7,PTOCHIAPASMAR,CHIS,Puerto Chiapas Chis. SEMAR*,23.9,,
-92.76,15.07,LAENCRUCIJADA,CHIS,La Encrucijada Chis. SGT*,23.8,,
-92.76,15.07,ENCRUCIJADA,CHIS,La Encrucijada Chis. SMN*,23.8,,
-92.67,15.33,ESCUINTLA,CHIS,Escuintla Chis. SMN*,22.8,,
-92.81,15.66,ELTRIUNFO,CHIS,El Triunfo Chis. SMN*,13.0,,
-93.86,16.06,PAREDONMAR,CHIS,ParedÛn Chis. SEMAR*,24.3,,
-91.73,16.11,LMONTEBELLO,CHIS,Lagunas de Montebello Chis. SMN*,16.6,,
-93.08,16.17,CREDREVOLUCIONM,CHIS,Cred RevoluciÛn Mexicana Chis. SMN*,20.9,,
-92.13,16.23,COMITANob,CHIS,Observatorio de Comit·n Chis. SMN*,20.2,,
-93.91,16.24,CREDARRIAGA,CHIS,Cred Arriaga Chis. SMN*,24.6,,
-92.48,16.55,TEOPISCA,CHIS,Teopisca Chis. SGT*,13.6,,
-93.56,16.69,LASFLORESCFE,CHIS,Las Flores Chis. CFE*,21.4,,
-92.45,16.71,HUIXTAN,CHIS,Huixt·n Chis. SGT*,12.3,,
-92.63,16.73,SNCRISTOBALob,CHIS,Observatorio de San CristÛbal Chis. SMN*,12.7,,
-92.34,16.85,OXCHUC,CHIS,Oxchuc Chis. SGT*,12.3,,
-93.55,17.35,SITALA,CHIS,Sitala Chis. SGT*,17.7,,
-92.83,17.37,ESCALONCP,CHIS,El EscalÛn Chis. SGT*,20.5,,
-91.7,17.47,CHACAMAX,CHIS,Chacamax Chis. SGT*,23.7,,
-91.99,17.53,PLQCP,CHIS,Palenque Chis. SMN*,23.2,,
-92.33,17.56,SALTODEAGUA,CHIS,Salto de Agua Chis. SGT*,23.6,,
-92.15,14.96,TALISMAN,CHIS,Talism·n Chis. SMN*,21.0,,
-92.25,15.36,CREDMOTOZINTLA,CHIS,Cred Motozintla Chis. SMN*,17.1,,
-93.9,16.24,AROCP,CHIS,Observatorio de Arriaga Chis.,22.3,,
-93.56,16.7,LFLCP,CHIS,Las Flores Chis.,21.3,,
-91.52,16.81,MAZULES,CHIS,Montes Azules Chis. SMN*,20.5,,
-93.08,17.56,SJOCP,CHIS,San JoaquÌn Chis.,24.0,,
-103.7,27.29,SMJCL,COAH,Sierra Mojada Coah.,16.3,,
-103.26,25.77,FIMCL,COAH,Francisco I. Madero Coah.,18.0,,
-101.02,25.38,STOCL,COAH,Saltillo Coah.,14.0,,
-103.45,25.53,TORREONob,COAH,Observatorio de TorreÛn Coah. SMN*,19.4,,
-103.45,25.54,TORCL,COAH,Observatorio de TorreÛn Coah.,19.6,,
-103.47,25.54,CYTCL,COAH,Coyote Coah.,19.6,,
-100.93,25.56,ARACL,COAH,Ramos Arizpe Aeropuerto Coah.,16.1,,
-102.98,25.76,SPECL,COAH,San Pedro Coah.,17.4,,
-100.66,26.84,CDLCL,COAH,Candela Coah.,20.8,,
-102.06,26.98,CCGCL,COAH,Cuatro CiÈnegas Coah.,19.6,,
-101,27.42,PRSCL,COAH,Progreso Coah.,18.4,,
-100.62,27.52,VCRCL,COAH,Venustiano Carranza Coah.,20.1,,
-101.12,27.85,SBNCL,COAH,Sabinas Coah.,20.6,,
-100.9,29.03,ZPTCL,COAH,Zapata Coah.,19.9,,
